Using 1 threads
finish readstarttry0try1   Peak Performance =  1703.65 MegaMults/Sec
Average Performance =  1649.63 MegaMults/Sec
Sum[365] = -25873.486328
Sum[366] = -19353.812500
Sum[367] = -21107.388672
Sum[368] = -11271.768555
Sum[369] = -17747.929688
Sum[370] = -8686.367188
Sum[371] = -15498.105469
Sum[372] = -9750.328125
Sum[373] = 337.260986
Sum[374] = -3910.344238
Sum[375] = -1912.443359
Sum[376] = -3774.870117
Sum[377] = -9057.693359
Sum[378] = 7852.530273
Sum[379] = 11087.951172
Sum[380] = 4532.183594
Sum[381] = 12262.220703
Sum[382] = 7988.043457
Sum[383] = 14093.304688
Sum[384] = 3519.169434
Sum[385] = 15209.320312
Sum[386] = 11889.471680
Sum[387] = 13389.641602
Sum[388] = 26878.609375
Sum[389] = 19950.263672
Sum[390] = 28530.550781
Sum[391] = 30717.601562
Sum[392] = 28215.349609
Sum[393] = 31120.757812
Sum[394] = 26489.375000
Sum[395] = 33192.785156
Sum[396] = 29266.437500
Sum[397] = 29805.917969
Sum[398] = 27242.373047
Sum[399] = 29918.904297
Sum[400] = 31893.792969
Sum[401] = 44554.800781
Sum[402] = 41185.105469
Sum[403] = 37728.468750
Sum[404] = 44115.109375
Sum[405] = 41166.070312
Sum[406] = 62343.804688
Sum[407] = 44449.218750
Sum[408] = 36481.105469
Sum[409] = 48211.468750
Sum[410] = 48034.945312
Sum[411] = 54764.437500
Sum[412] = 42948.722656
Sum[413] = 48433.109375
Sum[414] = 66709.015625
Sum[415] = 51986.089844
Sum[416] = 58289.804688
Sum[417] = 59539.843750
Sum[418] = 58794.875000
Sum[419] = 60142.445312
Sum[420] = 65458.070312
Sum[421] = 58180.054688
Sum[422] = 53528.140625
Sum[423] = 74888.492188
Sum[424] = 58178.703125
Sum[425] = 63241.953125
Sum[426] = 67370.781250
Sum[427] = 58595.734375
Sum[428] = 65038.960938
Sum[429] = 67376.523438
Sum[430] = 55373.187500
Sum[431] = 54018.703125
Sum[432] = 69078.312500
Sum[433] = 58007.265625
Sum[434] = 47741.277344
Sum[435] = 58440.726562
Sum[436] = 56186.523438
Sum[437] = 75416.437500
Sum[438] = 54158.074219
Sum[439] = 68078.632812
Sum[440] = 62172.164062
Sum[441] = 62547.679688
Sum[442] = 63160.507812
Sum[443] = 61900.054688
Sum[444] = 52304.843750
Sum[445] = 52780.691406
Sum[446] = 53442.449219
Sum[447] = 60151.683594
Sum[448] = 62266.476562
Sum[449] = 53315.054688
Sum[450] = 54047.476562
Sum[451] = 59750.761719
Sum[452] = 44679.269531
Sum[453] = 60303.695312
Sum[454] = 44729.925781
Sum[455] = 49522.304688
Sum[456] = 41391.472656
Sum[457] = 39860.597656
Sum[458] = 43237.113281
Sum[459] = 46302.898438
Sum[460] = 44817.328125
Sum[461] = 35599.324219
Sum[462] = 36324.312500
Sum[463] = 28471.929688
Sum[464] = 39148.531250
Sum[465] = 27053.207031
Sum[466] = 30416.498047
Sum[467] = 40219.625000
Sum[468] = 24797.203125
Sum[469] = 28719.632812
Sum[470] = 21363.480469
Sum[471] = 10187.154297
Sum[472] = 18502.445312
Sum[473] = 25740.517578
Sum[474] = 16382.332031
Sum[475] = 24426.308594
Sum[476] = 23241.941406
Sum[477] = 20890.648438
Sum[478] = 12831.074219
Sum[479] = 14695.974609
Sum[480] = 759.715210
Sum[481] = 219.197540
Sum[482] = 5928.878418
Sum[483] = 2757.842285
Sum[484] = -4880.393066
Sum[485] = 3528.160645
Sum[486] = -4992.104980
Sum[487] = 489.716919
Sum[488] = -1642.410156
Sum[489] = -592.987549
Sum[490] = -983.023438
Sum[491] = -2474.794678
Sum[492] = -7397.822754
Sum[493] = -17440.501953
Sum[494] = -31581.691406
Sum[495] = -18343.062500
Sum[496] = -18460.083984
Sum[497] = -22484.730469
Sum[498] = -32463.246094
Sum[499] = -20879.796875
Sum[500] = -24868.279297
Sum[501] = -14849.872070
Sum[502] = -29143.623047
Sum[503] = -28081.521484
Sum[504] = -27371.751953
Sum[505] = -29216.097656
Sum[506] = -48011.070312
Sum[507] = -38381.382812
Sum[508] = -32759.078125
Sum[509] = -47014.640625
Sum[510] = -25209.386719
Sum[511] = -43290.820312
Sum[512] = -40882.234375
